[2026-06-17T17:36:16.751Z] Path: /api/chat | Error: {"error":"Unknown column 'reactions' in 'field list'"}
[2026-06-18T07:02:24.627Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:24.631Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:24.691Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:25.617Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:28.625Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:29.754Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:36.858Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:37.532Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:37.987Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:38.441Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:38.446Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:38.455Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:38.458Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:38.549Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:39.948Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:42.476Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:42.482Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:42.487Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:44.630Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:44.809Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:45.403Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:45.784Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:45.788Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:48.736Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:50.520Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:53.181Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:53.251Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:53.513Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:54.188Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:54.190Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:54.228Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:54.358Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:56.613Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:02:57.621Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:01.429Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:01.468Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:02.808Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:03.935Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:03:03.969Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
